id,ethnicity,religion,sign
14146,white,catholicism,taurus but it doesn&rsquo;t matter
14148,black,christianity,taurus and it&rsquo;s fun to think about
14153,"white, other",judaism but not too serious about it,capricorn but it doesn&rsquo;t matter
14156,middle eastern,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
14157,white,other but not too serious about it,pisces and it&rsquo;s fun to think about
14162,hispanic / latin,catholicism but not too serious about it,leo but it doesn&rsquo;t matter
14163,white,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter
14166,white,agnosticism and very serious about it,libra and it&rsquo;s fun to think about
14167,white,atheism and laughing about it,gemini but it doesn&rsquo;t matter
14168,hispanic / latin,atheism and somewhat serious about it,cancer and it matters a lot
14179,white,agnosticism and laughing about it,libra and it&rsquo;s fun to think about
14180,white,agnosticism and laughing about it,taurus but it doesn&rsquo;t matter
14190,"black, hispanic / latin, white",atheism and somewhat serious about it,pisces and it&rsquo;s fun to think about
14198,"black, hispanic / latin, white",other,capricorn but it doesn&rsquo;t matter
14222,white,christianity but not too serious about it,capricorn and it&rsquo;s fun to think about
14226,hispanic / latin,agnosticism but not too serious about it,pisces and it&rsquo;s fun to think about
14231,white,other and laughing about it,scorpio and it&rsquo;s fun to think about
14232,hispanic / latin,agnosticism,aries
14236,hispanic / latin,christianity,aries but it doesn&rsquo;t matter
14237,asian,christianity and somewhat serious about it,pisces but it doesn&rsquo;t matter
14240,white,atheism and laughing about it,aquarius but it doesn&rsquo;t matter
14243,"white, other",agnosticism and laughing about it,taurus but it doesn&rsquo;t matter
14246,white,other,leo
14252,"hispanic / latin, white",christianity,sagittarius and it&rsquo;s fun to think about
14263,white,other,sagittarius but it doesn&rsquo;t matter
14273,white,judaism but not too serious about it,capricorn but it doesn&rsquo;t matter
14274,"white, other",christianity and somewhat serious about it,cancer and it&rsquo;s fun to think about
14287,white,judaism but not too serious about it,virgo and it&rsquo;s fun to think about
14299,"asian, white",other but not too serious about it,virgo and it&rsquo;s fun to think about
14307,white,atheism and laughing about it,aquarius but it doesn&rsquo;t matter
14315,white,christianity and somewhat serious about it,scorpio and it&rsquo;s fun to think about
14317,white,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter
14324,"black, native american",christianity and very serious about it,taurus but it doesn&rsquo;t matter
14331,white,christianity,aries but it doesn&rsquo;t matter
14341,asian,christianity and very serious about it,sagittarius and it&rsquo;s fun to think about
14347,other,catholicism but not too serious about it,gemini and it&rsquo;s fun to think about
14348,"black, hispanic / latin",christianity and very serious about it,taurus and it&rsquo;s fun to think about
14351,white,other and laughing about it,leo but it doesn&rsquo;t matter
14353,white,christianity,taurus and it matters a lot
14359,hispanic / latin,judaism but not too serious about it,cancer but it doesn&rsquo;t matter
14362,white,buddhism and somewhat serious about it,cancer but it doesn&rsquo;t matter
14367,hispanic / latin,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about
14368,other,buddhism but not too serious about it,capricorn and it matters a lot
14373,white,catholicism but not too serious about it,sagittarius but it doesn&rsquo;t matter
14382,white,atheism and laughing about it,capricorn but it doesn&rsquo;t matter
14395,white,other and laughing about it,scorpio and it&rsquo;s fun to think about
14401,white,agnosticism but not too serious about it,aquarius but it doesn&rsquo;t matter
14408,white,christianity,cancer
14425,white,agnosticism but not too serious about it,leo and it&rsquo;s fun to think about
14430,white,atheism and laughing about it,scorpio and it&rsquo;s fun to think about
14436,white,catholicism but not too serious about it,pisces but it doesn&rsquo;t matter
14439,white,other but not too serious about it,gemini and it&rsquo;s fun to think about
14443,white,agnosticism,scorpio
14448,white,judaism but not too serious about it,scorpio and it&rsquo;s fun to think about
14466,asian,agnosticism but not too serious about it,aries but it doesn&rsquo;t matter
14488,"hispanic / latin, white",agnosticism and laughing about it,cancer and it matters a lot
14490,"hispanic / latin, white",other and laughing about it,scorpio but it doesn&rsquo;t matter
14494,"native american, white",atheism,leo
14503,pacific islander,catholicism but not too serious about it,aries and it&rsquo;s fun to think about
14514,white,other and laughing about it,gemini and it&rsquo;s fun to think about
14515,white,catholicism and laughing about it,pisces but it doesn&rsquo;t matter
14517,white,hinduism but not too serious about it,sagittarius and it&rsquo;s fun to think about
14519,black,christianity,capricorn but it doesn&rsquo;t matter
14534,black,christianity,taurus and it&rsquo;s fun to think about
14541,white,atheism and laughing about it,sagittarius but it doesn&rsquo;t matter
14551,"native american, hispanic / latin, other",agnosticism but not too serious about it,aquarius but it doesn&rsquo;t matter
14553,white,judaism but not too serious about it,aries and it&rsquo;s fun to think about
14556,"hispanic / latin, white",catholicism but not too serious about it,pisces but it doesn&rsquo;t matter
14561,white,agnosticism but not too serious about it,sagittarius and it&rsquo;s fun to think about
14569,white,buddhism and laughing about it,scorpio but it doesn&rsquo;t matter
14572,white,other and laughing about it,aries and it&rsquo;s fun to think about
14589,asian,christianity and very serious about it,aries but it doesn&rsquo;t matter
14601,white,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
14603,asian,buddhism but not too serious about it,libra but it doesn&rsquo;t matter
14617,white,judaism and laughing about it,libra but it doesn&rsquo;t matter
14638,white,catholicism but not too serious about it,taurus but it doesn&rsquo;t matter
14639,white,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about
14649,white,other and laughing about it,capricorn but it doesn&rsquo;t matter
14662,white,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter
14667,"middle eastern, white",other and laughing about it,cancer and it&rsquo;s fun to think about
14675,white,other and laughing about it,aquarius but it doesn&rsquo;t matter
14678,black,agnosticism and laughing about it,gemini but it doesn&rsquo;t matter
14686,white,christianity but not too serious about it,taurus but it doesn&rsquo;t matter
14690,white,atheism and somewhat serious about it,gemini but it doesn&rsquo;t matter
14695,white,agnosticism and laughing about it,aquarius but it doesn&rsquo;t matter
14698,white,agnosticism,pisces but it doesn&rsquo;t matter
14705,white,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
14714,white,agnosticism and somewhat serious about it,cancer and it&rsquo;s fun to think about
14716,hispanic / latin,other and laughing about it,gemini but it doesn&rsquo;t matter
14719,"asian, pacific islander",christianity and somewhat serious about it,leo and it&rsquo;s fun to think about
14746,white,atheism and laughing about it,aries and it&rsquo;s fun to think about
14750,white,atheism and very serious about it,sagittarius but it doesn&rsquo;t matter
14754,white,judaism but not too serious about it,taurus but it doesn&rsquo;t matter
14756,indian,other and somewhat serious about it,libra and it&rsquo;s fun to think about
14759,"white, other",other and laughing about it,gemini but it doesn&rsquo;t matter
14763,white,agnosticism,aries but it doesn&rsquo;t matter
14788,hispanic / latin,other and laughing about it,cancer and it&rsquo;s fun to think about
14789,white,agnosticism,libra but it doesn&rsquo;t matter
14801,"native american, white, other",atheism and laughing about it,virgo and it&rsquo;s fun to think about
14805,white,other and very serious about it,virgo but it doesn&rsquo;t matter
14824,white,judaism but not too serious about it,leo and it&rsquo;s fun to think about
14834,"black, native american, hispanic / latin, white",other and laughing about it,scorpio and it&rsquo;s fun to think about
14842,white,other and very serious about it,capricorn and it&rsquo;s fun to think about
14850,"hispanic / latin, white",catholicism and laughing about it,sagittarius but it doesn&rsquo;t matter
14854,white,christianity but not too serious about it,leo but it doesn&rsquo;t matter
14855,white,judaism and laughing about it,pisces
14858,white,atheism,leo but it doesn&rsquo;t matter
14868,white,christianity but not too serious about it,virgo and it&rsquo;s fun to think about
14873,middle eastern,judaism and somewhat serious about it,leo and it&rsquo;s fun to think about
14892,white,other and very serious about it,sagittarius but it doesn&rsquo;t matter
14895,white,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter
14903,white,agnosticism and laughing about it,capricorn and it&rsquo;s fun to think about
14905,white,agnosticism but not too serious about it,virgo and it&rsquo;s fun to think about
14907,"white, other",judaism and somewhat serious about it,taurus and it&rsquo;s fun to think about
14916,white,other and somewhat serious about it,aries but it doesn&rsquo;t matter
14925,white,agnosticism and laughing about it,aries but it doesn&rsquo;t matter
14931,hispanic / latin,other and very serious about it,aquarius but it doesn&rsquo;t matter
14937,white,agnosticism and laughing about it,sagittarius and it&rsquo;s fun to think about
14941,"hispanic / latin, other",agnosticism,leo and it&rsquo;s fun to think about
14943,white,agnosticism and laughing about it,capricorn and it&rsquo;s fun to think about
14964,indian,islam,virgo but it doesn&rsquo;t matter
14967,white,buddhism and laughing about it,pisces
15006,hispanic / latin,christianity but not too serious about it,capricorn and it&rsquo;s fun to think about
15008,white,other and very serious about it,sagittarius and it matters a lot
15018,white,christianity but not too serious about it,taurus and it&rsquo;s fun to think about
15024,white,other but not too serious about it,aries and it&rsquo;s fun to think about
15029,other,atheism but not too serious about it,scorpio but it doesn&rsquo;t matter
15047,white,atheism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
15048,white,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about
15054,white,atheism but not too serious about it,libra but it doesn&rsquo;t matter
15059,white,atheism and laughing about it,capricorn but it doesn&rsquo;t matter
15075,hispanic / latin,catholicism and laughing about it,libra and it&rsquo;s fun to think about
15079,white,atheism,capricorn
15081,white,other but not too serious about it,aries and it&rsquo;s fun to think about
15085,white,atheism and somewhat serious about it,gemini but it doesn&rsquo;t matter
15086,white,catholicism and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
15092,hispanic / latin,christianity,cancer and it&rsquo;s fun to think about
15102,white,other but not too serious about it,taurus and it&rsquo;s fun to think about
15103,white,judaism but not too serious about it,scorpio but it doesn&rsquo;t matter
15108,asian,agnosticism and laughing about it,cancer but it doesn&rsquo;t matter
15113,white,christianity but not too serious about it,taurus but it doesn&rsquo;t matter
15116,white,agnosticism but not too serious about it,cancer but it doesn&rsquo;t matter
15117,asian,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
15128,white,other and somewhat serious about it,leo
15130,"black, native american, white",agnosticism but not too serious about it,aquarius and it&rsquo;s fun to think about
15132,white,catholicism but not too serious about it,aries but it doesn&rsquo;t matter
15156,white,other,leo and it&rsquo;s fun to think about
15157,asian,atheism and very serious about it,aries and it&rsquo;s fun to think about
15158,white,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about
15163,white,buddhism and laughing about it,sagittarius but it doesn&rsquo;t matter
15171,white,other and laughing about it,gemini and it&rsquo;s fun to think about
15172,asian,other,aquarius but it doesn&rsquo;t matter
15176,white,atheism,leo
15177,"black, native american, pacific islander, other",islam and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
15181,native american,other and laughing about it,cancer and it&rsquo;s fun to think about
15195,asian,buddhism but not too serious about it,leo and it&rsquo;s fun to think about
15209,white,agnosticism,capricorn
15216,white,hinduism and somewhat serious about it,cancer and it matters a lot
15226,white,christianity but not too serious about it,capricorn but it doesn&rsquo;t matter
15232,white,christianity but not too serious about it,aquarius but it doesn&rsquo;t matter
15234,"black, hispanic / latin, white",agnosticism and laughing about it,cancer and it&rsquo;s fun to think about
15236,white,atheism,leo and it&rsquo;s fun to think about
15237,asian,atheism but not too serious about it,taurus and it&rsquo;s fun to think about
15238,white,atheism but not too serious about it,taurus but it doesn&rsquo;t matter
15242,white,other and somewhat serious about it,virgo and it&rsquo;s fun to think about
15252,white,agnosticism and laughing about it,scorpio but it doesn&rsquo;t matter
15258,"middle eastern, black, native american, white",buddhism and somewhat serious about it,capricorn and it&rsquo;s fun to think about
15264,white,other and laughing about it,aquarius and it&rsquo;s fun to think about
15276,hispanic / latin,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about
15278,middle eastern,atheism and somewhat serious about it,capricorn and it&rsquo;s fun to think about
15283,white,other,pisces and it&rsquo;s fun to think about
15288,white,atheism and laughing about it,pisces but it doesn&rsquo;t matter
15302,"black, hispanic / latin, white",other and somewhat serious about it,pisces and it matters a lot
15303,"asian, white, other",atheism,aquarius but it doesn&rsquo;t matter
15307,"asian, white",other and somewhat serious about it,libra and it&rsquo;s fun to think about
15312,hispanic / latin,other and laughing about it,pisces but it doesn&rsquo;t matter
15314,white,other,sagittarius and it&rsquo;s fun to think about
15317,white,atheism but not too serious about it,libra and it&rsquo;s fun to think about
15321,white,atheism and laughing about it,taurus and it&rsquo;s fun to think about
15322,white,other and laughing about it,cancer
15323,white,buddhism and laughing about it,gemini but it doesn&rsquo;t matter
15333,white,agnosticism and somewhat serious about it,scorpio but it doesn&rsquo;t matter
15337,white,catholicism but not too serious about it,gemini but it doesn&rsquo;t matter
15338,hispanic / latin,atheism but not too serious about it,cancer but it doesn&rsquo;t matter
15339,"native american, other",agnosticism,libra and it&rsquo;s fun to think about
15341,asian,agnosticism but not too serious about it,scorpio but it doesn&rsquo;t matter
15353,white,agnosticism and laughing about it,gemini and it&rsquo;s fun to think about
15354,white,other,gemini
15359,"white, other",other,scorpio
15369,white,atheism and laughing about it,gemini
15371,white,atheism but not too serious about it,taurus but it doesn&rsquo;t matter
15374,white,judaism but not too serious about it,taurus and it&rsquo;s fun to think about
15383,white,agnosticism and laughing about it,aquarius but it doesn&rsquo;t matter
15391,white,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
15393,indian,atheism,capricorn but it doesn&rsquo;t matter
15394,white,atheism and laughing about it,leo and it&rsquo;s fun to think about
15398,white,other and somewhat serious about it,capricorn but it doesn&rsquo;t matter
15402,white,catholicism,aquarius but it doesn&rsquo;t matter
15407,asian,atheism and laughing about it,pisces and it&rsquo;s fun to think about
15412,white,atheism,virgo but it doesn&rsquo;t matter
15431,white,agnosticism and laughing about it,aries but it doesn&rsquo;t matter
15435,white,christianity and somewhat serious about it,scorpio but it doesn&rsquo;t matter
15436,white,christianity and somewhat serious about it,scorpio but it doesn&rsquo;t matter
15467,white,other,sagittarius but it doesn&rsquo;t matter
15469,"hispanic / latin, white",catholicism and laughing about it,taurus and it&rsquo;s fun to think about
15476,"hispanic / latin, white",judaism but not too serious about it,sagittarius and it&rsquo;s fun to think about
15488,asian,atheism,cancer
15525,white,atheism and very serious about it,sagittarius but it doesn&rsquo;t matter
15541,white,christianity but not too serious about it,sagittarius but it doesn&rsquo;t matter
15543,white,christianity but not too serious about it,virgo and it&rsquo;s fun to think about
15546,"asian, indian, pacific islander, other",agnosticism but not too serious about it,libra
15556,black,christianity and somewhat serious about it,gemini and it&rsquo;s fun to think about
15562,black,islam and very serious about it,pisces and it matters a lot
15574,white,christianity,libra but it doesn&rsquo;t matter
15575,asian,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter
15595,white,judaism but not too serious about it,gemini but it doesn&rsquo;t matter
15596,white,judaism and laughing about it,capricorn but it doesn&rsquo;t matter
15597,hispanic / latin,other and laughing about it,aquarius and it&rsquo;s fun to think about
15598,white,atheism and somewhat serious about it,pisces and it matters a lot
15606,white,agnosticism and laughing about it,taurus but it doesn&rsquo;t matter
15615,"native american, hispanic / latin, white",other but not too serious about it,capricorn but it doesn&rsquo;t matter
15629,indian,atheism and laughing about it,cancer but it doesn&rsquo;t matter
15654,hispanic / latin,buddhism and somewhat serious about it,scorpio
15666,white,agnosticism and somewhat serious about it,cancer but it doesn&rsquo;t matter
15686,white,agnosticism and laughing about it,aries
15696,white,other,leo but it doesn&rsquo;t matter
15705,white,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about
15707,white,judaism,taurus
15713,white,atheism and somewhat serious about it,taurus and it&rsquo;s fun to think about
15726,white,atheism,aquarius
15745,white,catholicism but not too serious about it,cancer but it doesn&rsquo;t matter
15750,white,agnosticism but not too serious about it,libra and it&rsquo;s fun to think about
15753,white,other but not too serious about it,aries and it&rsquo;s fun to think about
15760,indian,agnosticism and laughing about it,sagittarius but it doesn&rsquo;t matter
15771,white,judaism and laughing about it,sagittarius and it&rsquo;s fun to think about
15785,white,other,scorpio
15791,white,christianity but not too serious about it,scorpio but it doesn&rsquo;t matter
15797,white,agnosticism and laughing about it,scorpio but it doesn&rsquo;t matter
15798,white,judaism but not too serious about it,sagittarius but it doesn&rsquo;t matter
15803,white,atheism,sagittarius but it doesn&rsquo;t matter
15804,white,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
15805,white,other and laughing about it,virgo and it&rsquo;s fun to think about
15816,"hispanic / latin, white",other and laughing about it,aries and it&rsquo;s fun to think about
15817,white,christianity and somewhat serious about it,virgo and it&rsquo;s fun to think about
15824,asian,christianity and very serious about it,cancer and it&rsquo;s fun to think about
15841,white,judaism and laughing about it,scorpio and it&rsquo;s fun to think about
15842,other,other but not too serious about it,pisces and it&rsquo;s fun to think about
15844,other,judaism but not too serious about it,taurus and it&rsquo;s fun to think about
15856,white,other and laughing about it,aquarius and it&rsquo;s fun to think about
15860,white,atheism and laughing about it,gemini but it doesn&rsquo;t matter
15877,asian,christianity and somewhat serious about it,capricorn but it doesn&rsquo;t matter
15878,asian,catholicism but not too serious about it,capricorn and it&rsquo;s fun to think about
15889,white,agnosticism but not too serious about it,sagittarius but it doesn&rsquo;t matter
15895,indian,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
15897,"asian, black, native american, hispanic / latin",catholicism but not too serious about it,capricorn but it doesn&rsquo;t matter
15905,black,christianity and very serious about it,aquarius but it doesn&rsquo;t matter
15906,white,other,taurus
15916,white,buddhism and very serious about it,sagittarius but it doesn&rsquo;t matter
15925,white,other,cancer and it&rsquo;s fun to think about
15928,pacific islander,agnosticism,virgo and it&rsquo;s fun to think about
15934,white,other and somewhat serious about it,capricorn and it&rsquo;s fun to think about
15937,white,other and laughing about it,aquarius and it&rsquo;s fun to think about
15944,"asian, white",catholicism but not too serious about it,virgo
15947,white,agnosticism but not too serious about it,pisces but it doesn&rsquo;t matter
15950,asian,christianity and somewhat serious about it,aries
15965,"asian, pacific islander",catholicism but not too serious about it,pisces and it&rsquo;s fun to think about
15974,white,christianity but not too serious about it,aquarius and it matters a lot
15976,white,atheism but not too serious about it,virgo and it&rsquo;s fun to think about
15981,white,judaism but not too serious about it,leo but it doesn&rsquo;t matter
15991,white,agnosticism,virgo
16015,white,judaism but not too serious about it,pisces and it&rsquo;s fun to think about
16024,white,christianity and somewhat serious about it,aries and it&rsquo;s fun to think about
16042,white,agnosticism and very serious about it,scorpio but it doesn&rsquo;t matter
16044,white,other,cancer and it&rsquo;s fun to think about
16045,white,atheism but not too serious about it,virgo and it&rsquo;s fun to think about
16051,"asian, other",buddhism and laughing about it,libra and it&rsquo;s fun to think about
16052,other,other and very serious about it,scorpio but it doesn&rsquo;t matter
16053,white,buddhism but not too serious about it,pisces and it&rsquo;s fun to think about
16056,white,christianity and somewhat serious about it,sagittarius but it doesn&rsquo;t matter
16082,white,judaism and somewhat serious about it,scorpio and it matters a lot
16095,"native american, white",other and laughing about it,gemini and it&rsquo;s fun to think about
16105,white,other,taurus
16137,"native american, white",hinduism,pisces
16151,white,other and laughing about it,libra but it doesn&rsquo;t matter
16158,native american,catholicism,aries but it doesn&rsquo;t matter
16163,asian,atheism and very serious about it,aquarius and it&rsquo;s fun to think about
16169,asian,christianity and somewhat serious about it,pisces and it&rsquo;s fun to think about
16175,white,agnosticism but not too serious about it,scorpio and it&rsquo;s fun to think about
16176,white,catholicism but not too serious about it,cancer but it doesn&rsquo;t matter
16182,"hispanic / latin, white",atheism and laughing about it,pisces but it doesn&rsquo;t matter
16184,white,christianity but not too serious about it,aries but it doesn&rsquo;t matter
16217,"hispanic / latin, other",catholicism,pisces and it&rsquo;s fun to think about
16220,white,agnosticism but not too serious about it,aquarius but it doesn&rsquo;t matter
16228,hispanic / latin,catholicism,taurus
16237,white,agnosticism and laughing about it,cancer and it&rsquo;s fun to think about
16238,white,other,aquarius and it&rsquo;s fun to think about
16240,white,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about
16242,asian,atheism and laughing about it,taurus but it doesn&rsquo;t matter
16256,asian,christianity and somewhat serious about it,pisces and it&rsquo;s fun to think about
16257,black,christianity,pisces and it&rsquo;s fun to think about
16261,white,agnosticism and somewhat serious about it,scorpio and it&rsquo;s fun to think about
16271,white,other and laughing about it,taurus but it doesn&rsquo;t matter
16281,white,other,virgo
16292,black,catholicism and somewhat serious about it,gemini and it&rsquo;s fun to think about
16295,"middle eastern, hispanic / latin",other and laughing about it,aquarius and it&rsquo;s fun to think about
16296,white,agnosticism,leo but it doesn&rsquo;t matter
16297,white,christianity but not too serious about it,cancer and it&rsquo;s fun to think about
16302,white,judaism,taurus
16304,white,christianity but not too serious about it,gemini and it&rsquo;s fun to think about
16314,white,agnosticism,libra but it doesn&rsquo;t matter
16319,white,christianity and laughing about it,virgo and it&rsquo;s fun to think about
16325,white,judaism and laughing about it,pisces and it&rsquo;s fun to think about
16330,"asian, white",agnosticism and somewhat serious about it,taurus but it doesn&rsquo;t matter
16341,"native american, white, other",atheism but not too serious about it,virgo
16344,other,catholicism and somewhat serious about it,sagittarius and it&rsquo;s fun to think about
16345,white,other and laughing about it,aries but it doesn&rsquo;t matter
16356,pacific islander,catholicism,capricorn
16358,white,agnosticism but not too serious about it,aries
16367,white,christianity and somewhat serious about it,scorpio and it&rsquo;s fun to think about
16372,white,other,gemini but it doesn&rsquo;t matter
16379,asian,christianity and very serious about it,cancer but it doesn&rsquo;t matter
16381,white,atheism and laughing about it,taurus
16399,"asian, black",atheism but not too serious about it,aquarius and it&rsquo;s fun to think about
16405,white,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about
16407,white,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter
16411,"native american, white",atheism and laughing about it,gemini but it doesn&rsquo;t matter
16413,white,judaism but not too serious about it,sagittarius but it doesn&rsquo;t matter
16420,white,judaism but not too serious about it,aquarius and it&rsquo;s fun to think about
16430,white,christianity and somewhat serious about it,libra but it doesn&rsquo;t matter
16443,white,agnosticism but not too serious about it,sagittarius but it doesn&rsquo;t matter
16447,white,agnosticism but not too serious about it,sagittarius and it&rsquo;s fun to think about
16449,white,atheism,gemini
16463,white,agnosticism,leo and it&rsquo;s fun to think about
16465,white,other and laughing about it,gemini and it&rsquo;s fun to think about
16495,white,agnosticism but not too serious about it,leo and it&rsquo;s fun to think about
16505,"white, other",agnosticism and laughing about it,pisces but it doesn&rsquo;t matter
16522,"native american, hispanic / latin, white",atheism but not too serious about it,virgo but it doesn&rsquo;t matter
16535,white,buddhism and laughing about it,leo and it matters a lot
16536,"black, native american",christianity and somewhat serious about it,virgo but it doesn&rsquo;t matter
16546,asian,catholicism,pisces
16548,white,christianity but not too serious about it,libra but it doesn&rsquo;t matter
16553,"asian, white",christianity but not too serious about it,scorpio and it&rsquo;s fun to think about
16554,white,atheism,virgo and it matters a lot
16582,white,other but not too serious about it,virgo but it doesn&rsquo;t matter
16588,white,other,libra
16595,"indian, white, other",christianity,pisces and it&rsquo;s fun to think about
16602,white,catholicism and laughing about it,cancer but it doesn&rsquo;t matter
16609,white,other and laughing about it,capricorn but it doesn&rsquo;t matter
16617,white,atheism,capricorn
16621,white,atheism and very serious about it,scorpio but it doesn&rsquo;t matter
16622,white,agnosticism,pisces and it&rsquo;s fun to think about
16643,white,christianity but not too serious about it,aquarius and it&rsquo;s fun to think about
16649,"native american, hispanic / latin, white",buddhism and somewhat serious about it,taurus but it doesn&rsquo;t matter
16653,white,agnosticism,virgo
16661,black,other and very serious about it,libra and it&rsquo;s fun to think about
16669,white,buddhism and very serious about it,libra and it&rsquo;s fun to think about
16687,hispanic / latin,agnosticism and somewhat serious about it,leo but it doesn&rsquo;t matter
16695,"asian, black",christianity and very serious about it,sagittarius but it doesn&rsquo;t matter
16718,"pacific islander, hispanic / latin, white",atheism but not too serious about it,scorpio
16720,white,judaism but not too serious about it,capricorn and it&rsquo;s fun to think about
16724,white,christianity but not too serious about it,virgo but it doesn&rsquo;t matter
16727,asian,agnosticism,taurus
16729,white,judaism but not too serious about it,scorpio but it doesn&rsquo;t matter
16730,black,catholicism and laughing about it,aries and it&rsquo;s fun to think about
16731,asian,agnosticism,sagittarius
16733,asian,atheism,aries
16742,asian,catholicism,capricorn
16747,hispanic / latin,catholicism,libra
16762,white,christianity but not too serious about it,sagittarius and it&rsquo;s fun to think about
16774,white,atheism and laughing about it,libra and it&rsquo;s fun to think about
16777,hispanic / latin,catholicism,leo and it&rsquo;s fun to think about
16780,black,catholicism,aquarius
16781,white,atheism and laughing about it,pisces and it&rsquo;s fun to think about
16784,white,other and somewhat serious about it,virgo and it&rsquo;s fun to think about
16789,white,agnosticism and somewhat serious about it,libra and it&rsquo;s fun to think about
16793,white,agnosticism and somewhat serious about it,virgo but it doesn&rsquo;t matter
16796,white,christianity but not too serious about it,sagittarius and it&rsquo;s fun to think about
16801,white,agnosticism and laughing about it,cancer and it&rsquo;s fun to think about
16810,white,atheism and very serious about it,scorpio
16812,"asian, white",other and laughing about it,virgo but it doesn&rsquo;t matter
16815,"black, white",christianity,sagittarius but it doesn&rsquo;t matter
16821,black,christianity,sagittarius
16822,white,agnosticism but not too serious about it,taurus and it&rsquo;s fun to think about
16825,white,atheism but not too serious about it,capricorn and it&rsquo;s fun to think about
16833,asian,hinduism,virgo but it doesn&rsquo;t matter
16840,white,agnosticism but not too serious about it,leo and it&rsquo;s fun to think about
16849,white,judaism but not too serious about it,virgo but it doesn&rsquo;t matter
16853,asian,other and laughing about it,cancer but it doesn&rsquo;t matter
16856,white,buddhism but not too serious about it,aries and it&rsquo;s fun to think about
16865,"asian, indian",hinduism and laughing about it,pisces and it&rsquo;s fun to think about
16867,white,agnosticism and laughing about it,libra but it doesn&rsquo;t matter
16879,white,judaism and somewhat serious about it,cancer but it doesn&rsquo;t matter
16880,white,atheism and laughing about it,capricorn but it doesn&rsquo;t matter
16885,white,atheism and laughing about it,sagittarius but it doesn&rsquo;t matter
16902,white,atheism,virgo but it doesn&rsquo;t matter
16912,white,judaism,cancer
16915,white,other and somewhat serious about it,libra and it&rsquo;s fun to think about
16918,white,christianity but not too serious about it,virgo but it doesn&rsquo;t matter
16920,asian,buddhism,sagittarius and it&rsquo;s fun to think about
16937,white,catholicism and laughing about it,capricorn but it doesn&rsquo;t matter
16953,white,agnosticism and laughing about it,virgo and it matters a lot
16968,hispanic / latin,christianity and somewhat serious about it,cancer and it&rsquo;s fun to think about
16970,asian,buddhism and laughing about it,virgo and it&rsquo;s fun to think about
16998,white,other and laughing about it,pisces and it&rsquo;s fun to think about
16999,white,other but not too serious about it,capricorn but it doesn&rsquo;t matter
17001,white,judaism but not too serious about it,capricorn and it&rsquo;s fun to think about
17013,white,agnosticism and laughing about it,virgo and it&rsquo;s fun to think about
17014,white,other,virgo but it doesn&rsquo;t matter
17018,"black, native american, white, other",buddhism but not too serious about it,virgo and it&rsquo;s fun to think about
17020,white,other,virgo
17028,white,buddhism and somewhat serious about it,cancer and it&rsquo;s fun to think about
17031,hispanic / latin,catholicism and somewhat serious about it,virgo and it&rsquo;s fun to think about
17037,other,judaism and laughing about it,gemini but it doesn&rsquo;t matter
17038,white,agnosticism but not too serious about it,virgo but it doesn&rsquo;t matter
17042,white,judaism but not too serious about it,leo but it doesn&rsquo;t matter
17045,white,atheism and laughing about it,virgo
17057,white,other but not too serious about it,leo and it&rsquo;s fun to think about
17059,white,agnosticism and laughing about it,libra but it doesn&rsquo;t matter
17065,white,other but not too serious about it,aries and it&rsquo;s fun to think about
17067,"hispanic / latin, white",other,libra and it&rsquo;s fun to think about
17070,white,christianity but not too serious about it,leo and it matters a lot
17075,"pacific islander, hispanic / latin, white, other",christianity and somewhat serious about it,scorpio and it&rsquo;s fun to think about
17088,white,atheism and laughing about it,leo but it doesn&rsquo;t matter
17095,white,other and laughing about it,gemini
17107,white,christianity but not too serious about it,gemini but it doesn&rsquo;t matter
17114,white,other and very serious about it,gemini and it&rsquo;s fun to think about
17119,hispanic / latin,atheism and laughing about it,libra but it doesn&rsquo;t matter
17120,white,atheism and laughing about it,libra but it doesn&rsquo;t matter
17128,white,other,sagittarius but it doesn&rsquo;t matter
17133,asian,agnosticism but not too serious about it,taurus but it doesn&rsquo;t matter
