age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,id
45,single,m,straight,athletic,mostly other,socially,never,graduated from college/university,"pacific islander, white",76.0,-1,medicine / health,2012-06-29-15-51,"lafayette, california",has a kid,likes dogs,catholicism but not too serious about it,gemini and it&rsquo;s fun to think about,no,english,8052
28,single,f,straight,athletic,strictly anything,not at all,never,working on masters program,white,64.0,-1,science / tech / engineering,2012-03-09-07-26,"san francisco, california",doesn't have kids,likes dogs and likes cats,other and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",8053
26,single,m,straight,athletic,strictly anything,socially,sometimes,graduated from college/university,"hispanic / latin, white",72.0,-1,computer / hardware / software,2012-06-26-21-20,"oakland, california",doesn't have kids,likes dogs,atheism and very serious about it,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",8055
32,single,m,gay,average,anything,often,sometimes,graduated from college/university,white,69.0,-1,banking / financial / real estate,2012-02-11-00-37,"san francisco, california",doesn't want kids,likes dogs and likes cats,atheism and laughing about it,leo but it doesn&rsquo;t matter,yes,"english, spanish",8063
23,single,f,straight,thin,mostly anything,socially,sometimes,working on two-year college,"hispanic / latin, white",64.0,-1,hospitality / travel,2012-06-29-19-56,"oakland, california",doesn't have kids,has cats,other,virgo,no,english,8072
33,single,f,straight,full figured,mostly anything,socially,never,graduated from high school,white,61.0,20000,medicine / health,2012-03-20-23-14,"san leandro, california","doesn't have kids, but wants them",has dogs and has cats,catholicism and very serious about it,gemini and it matters a lot,no,english (fluently),8073
55,single,m,straight,rather not say,anything,desperately,often,dropped out of high school,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",95.0,20000,unemployed,2012-04-19-07-50,"berkeley, california","has a kid, but doesn't want more",dislikes dogs and dislikes cats,other and very serious about it,sagittarius but it doesn&rsquo;t matter,when drinking,english,8089
28,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,60.0,-1,artistic / musical / writer,2012-06-29-16-38,"san francisco, california",doesn't have kids,likes dogs,other and laughing about it,taurus but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (okay)",8102
37,single,f,straight,average,strictly anything,rarely,never,working on two-year college,white,70.0,20000,unemployed,2012-06-29-07-25,"san francisco, california",doesn't have kids,likes dogs and likes cats,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about,no,english,8113
35,single,m,straight,rather not say,mostly anything,socially,often,graduated from high school,white,70.0,-1,other,2012-06-13-02-03,"berkeley, california",has a kid,likes cats,other but not too serious about it,scorpio and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (poorly), german (poorly)",8120
32,single,f,straight,curvy,mostly anything,often,never,graduated from college/university,white,65.0,100000,sales / marketing / biz dev,2012-06-24-20-39,"san francisco, california",doesn't have kids,has dogs,agnosticism,aquarius and it&rsquo;s fun to think about,no,english,8123
34,single,f,straight,thin,mostly vegetarian,socially,never,graduated from college/university,white,64.0,-1,science / tech / engineering,2012-06-29-18-14,"san francisco, california",doesn't want kids,has dogs and has cats,atheism and very serious about it,sagittarius but it doesn&rsquo;t matter,no,english (fluently),8124
50,available,f,straight,curvy,anything,rarely,never,graduated from college/university,"black, indian, other",61.0,-1,artistic / musical / writer,2012-06-17-19-46,"berkeley, california",doesn't want kids,likes dogs and likes cats,christianity and very serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",8129
28,available,f,straight,average,mostly anything,socially,never,working on college/university,black,64.0,-1,student,2012-05-22-10-55,"san francisco, california","doesn't have kids, but wants them",likes dogs,christianity,cancer but it doesn&rsquo;t matter,no,english,8130
33,single,f,straight,fit,anything,socially,never,graduated from college/university,white,64.0,-1,other,2012-06-20-14-03,"san rafael, california",has a kid,has dogs and dislikes cats,christianity,taurus and it&rsquo;s fun to think about,when drinking,english,8131
22,single,m,straight,average,strictly anything,often,sometimes,graduated from space camp,"middle eastern, white, other",71.0,1000000,artistic / musical / writer,2012-06-19-18-03,"redwood city, california","has kids, and wants more",has dogs,other and laughing about it,cancer,trying to quit,"english (poorly), afrikaans (fluently), sign language, german (fluently), farsi (poorly)",8134
47,single,f,straight,average,mostly anything,socially,never,working on space camp,white,66.0,-1,artistic / musical / writer,2012-06-29-20-03,"san francisco, california","doesn't have kids, and doesn't want any",likes cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly), italian (poorly)",8136
42,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,sales / marketing / biz dev,2012-06-28-11-49,"martinez, california","has a kid, and might want more",has dogs,christianity but not too serious about it,pisces but it doesn&rsquo;t matter,no,english (fluently),8143
62,single,m,straight,average,anything,rarely,never,graduated from college/university,white,72.0,50000,retired,2012-06-29-07-08,"san carlos, california","has a kid, but doesn't want more",likes dogs and has cats,christianity but not too serious about it,cancer and it&rsquo;s fun to think about,no,english,8145
24,single,f,straight,average,anything,socially,sometimes,working on ph.d program,white,64.0,-1,student,2012-06-29-20-24,"berkeley, california","doesn't have kids, but wants them",likes dogs and likes cats,agnosticism,sagittarius,sometimes,"english (fluently), german (okay), spanish (poorly)",8148
39,single,m,straight,average,mostly vegetarian,socially,sometimes,graduated from college/university,white,68.0,40000,hospitality / travel,2012-06-29-13-12,"san francisco, california",might want kids,likes cats,judaism but not too serious about it,libra and it&rsquo;s fun to think about,no,english,8150
26,single,m,straight,overweight,mostly anything,socially,never,dropped out of college/university,asian,65.0,80000,science / tech / engineering,2012-06-30-00-03,"san mateo, california","doesn't have kids, but wants them",likes dogs,christianity and somewhat serious about it,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), tagalog (poorly)",8152
34,single,m,straight,average,mostly anything,socially,never,graduated from college/university,black,70.0,-1,banking / financial / real estate,2012-06-27-08-39,"vallejo, california","doesn't have kids, but might want them",likes dogs,catholicism but not too serious about it,aries and it&rsquo;s fun to think about,no,english,8159
49,single,m,straight,average,mostly anything,socially,never,graduated from two-year college,hispanic / latin,74.0,40000,science / tech / engineering,2012-06-28-21-26,"belmont, california",doesn't have kids,likes dogs and likes cats,catholicism and laughing about it,taurus and it&rsquo;s fun to think about,no,"english, spanish",8166
43,single,f,straight,athletic,mostly anything,socially,sometimes,graduated from law school,"native american, white",65.0,40000,law / legal services,2012-06-28-14-06,"san francisco, california","doesn't have kids, and doesn't want any",dislikes dogs and likes cats,other and somewhat serious about it,aquarius and it matters a lot,when drinking,english (fluently),8168
26,available,f,straight,curvy,mostly vegan,socially,sometimes,graduated from college/university,white,65.0,-1,banking / financial / real estate,2012-06-05-22-54,"san francisco, california",doesn't have kids,likes cats,agnosticism and laughing about it,virgo but it doesn&rsquo;t matter,no,english,8171
50,single,f,straight,average,anything,not at all,never,graduated from college/university,white,65.0,-1,education / academia,2012-06-28-22-05,"san francisco, california",doesn't want kids,has cats,buddhism but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",8173
41,single,f,straight,overweight,mostly anything,socially,never,graduated from college/university,white,61.0,-1,other,2012-03-24-10-28,"oakland, california",doesn't want kids,has dogs,other,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",8178
26,single,m,straight,athletic,strictly anything,socially,never,graduated from college/university,"asian, middle eastern, indian, hispanic / latin, white, other",70.0,100000,science / tech / engineering,2012-06-29-19-29,"oakland, california",doesn't want kids,dislikes dogs and likes cats,atheism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), french (okay), lisp (okay), other (fluently)",8189
23,single,m,straight,fit,mostly anything,often,never,graduated from college/university,indian,70.0,-1,banking / financial / real estate,2012-06-29-21-44,"san francisco, california",doesn't have kids,likes dogs and dislikes cats,hinduism,capricorn but it doesn&rsquo;t matter,no,"english (fluently), hindi (okay), spanish (okay)",8204
47,single,m,straight,athletic,anything,socially,never,graduated from college/university,indian,67.0,80000,science / tech / engineering,2012-06-28-21-48,"menlo park, california",has kids,likes dogs and has cats,christianity but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (fluently), hindi (fluently)",8209
33,single,f,straight,curvy,anything,socially,never,graduated from masters program,white,69.0,-1,sales / marketing / biz dev,2012-06-29-20-29,"burlingame, california","doesn't have kids, but wants them",likes dogs and dislikes cats,agnosticism but not too serious about it,virgo and it&rsquo;s fun to think about,no,english,8212
40,single,f,straight,curvy,mostly anything,socially,never,college/university,black,67.0,40000,transportation,2012-06-29-18-36,"menlo park, california",has kids,likes dogs and likes cats,christianity and very serious about it,aries and it&rsquo;s fun to think about,yes,english (fluently),8221
25,single,f,straight,average,anything,socially,never,graduated from college/university,asian,63.0,-1,student,2012-06-28-12-17,"san francisco, california",wants kids,likes dogs,agnosticism but not too serious about it,capricorn and it&rsquo;s fun to think about,no,"english (fluently), chinese (fluently), spanish (okay)",8235
25,single,m,straight,average,mostly anything,socially,never,graduated from college/university,asian,65.0,-1,student,2012-06-21-23-26,"san francisco, california",doesn't have kids,has dogs,other,capricorn,no,"english, spanish, other",8246
32,single,f,straight,average,anything,socially,never,graduated from college/university,hispanic / latin,61.0,-1,other,2012-06-21-21-37,"san francisco, california","has a kid, and might want more",likes dogs,other,scorpio and it&rsquo;s fun to think about,sometimes,"english (okay), spanish (fluently)",8248
24,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,68.0,-1,science / tech / engineering,2012-06-19-21-58,"walnut creek, california",doesn't have kids,likes dogs and likes cats,other and laughing about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",8249
24,single,m,straight,fit,mostly anything,socially,never,graduated from masters program,white,73.0,-1,construction / craftsmanship,2012-06-29-09-24,"berkeley, california",doesn't have kids,has dogs,judaism but not too serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), hebrew (poorly)",8255
20,single,f,straight,curvy,mostly anything,socially,never,working on college/university,hispanic / latin,68.0,20000,hospitality / travel,2012-04-19-12-59,"richmond, california",doesn't want kids,has dogs and dislikes cats,agnosticism,leo,no,"english (fluently), spanish (fluently), french (poorly)",8262
29,single,m,straight,average,mostly anything,socially,never,working on college/university,white,67.0,-1,entertainment / media,2012-06-30-02-53,"emeryville, california",doesn't have kids,likes dogs,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,english,8289
24,single,f,straight,curvy,vegetarian,often,sometimes,graduated from college/university,white,65.0,20000,political / government,2012-06-29-18-45,"san francisco, california","doesn't have kids, but might want them",likes dogs,other and laughing about it,leo,sometimes,"english, spanish (okay)",8293
25,single,m,gay,thin,strictly vegetarian,rarely,never,working on college/university,white,71.0,20000,unemployed,2012-06-29-23-44,"berkeley, california",might want kids,likes dogs and likes cats,atheism and very serious about it,sagittarius but it doesn&rsquo;t matter,no,english (fluently),8295
34,single,m,straight,a little extra,anything,socially,never,graduated from law school,indian,73.0,-1,law / legal services,2012-06-29-22-21,"menlo park, california","doesn't have kids, but wants them",likes dogs,other but not too serious about it,capricorn but it doesn&rsquo;t matter,no,english,8313
24,single,f,straight,athletic,anything,socially,sometimes,graduated from college/university,white,67.0,-1,artistic / musical / writer,2012-06-28-00-13,"san francisco, california",doesn't have kids,likes dogs,other and very serious about it,scorpio and it matters a lot,no,"english (fluently), italian (okay), spanish (poorly)",8315
38,single,m,straight,thin,mostly vegan,rarely,never,graduated from college/university,asian,72.0,-1,computer / hardware / software,2012-06-25-17-47,"burlingame, california","doesn't have kids, but might want them",likes dogs and has cats,agnosticism but not too serious about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), chinese (fluently)",8318
24,single,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72.0,60000,artistic / musical / writer,2012-06-29-08-48,"san francisco, california",doesn't have kids,likes dogs and likes cats,other and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), czech (poorly)",8323
30,single,m,straight,average,mostly anything,socially,never,working on college/university,asian,64.0,-1,science / tech / engineering,2012-06-27-18-36,"alameda, california","doesn't have kids, but wants them",has dogs and likes cats,agnosticism,taurus and it&rsquo;s fun to think about,no,"english (fluently), chinese (fluently), spanish (poorly)",8327
42,available,m,straight,overweight,strictly anything,often,sometimes,working on space camp,white,68.0,150000,executive / management,2012-06-29-23-39,"san carlos, california",has kids,likes dogs and likes cats,atheism and very serious about it,gemini but it doesn&rsquo;t matter,no,"english, c++ (fluently), lisp (poorly)",8341
43,single,f,bisexual,curvy,strictly anything,socially,sometimes,graduated from college/university,white,65.0,-1,rather not say,2012-06-27-02-36,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",8360
31,single,m,straight,average,mostly anything,socially,often,graduated from high school,white,73.0,20000,other,2012-06-24-21-12,"vallejo, california",doesn't have kids,likes dogs and likes cats,agnosticism,aries,no,english,8363
29,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,white,67.0,-1,other,2012-06-29-19-28,"san francisco, california",doesn't have kids,has dogs,christianity but not too serious about it,virgo but it doesn&rsquo;t matter,no,english,8365
28,single,m,straight,average,mostly anything,often,never,graduated from college/university,white,68.0,30000,artistic / musical / writer,2012-06-23-16-16,"alameda, california","doesn't have kids, but might want them",has dogs and has cats,atheism but not too serious about it,leo and it&rsquo;s fun to think about,trying to quit,english,8371
25,single,m,straight,average,anything,often,sometimes,working on college/university,"hispanic / latin, white",71.0,20000,student,2012-03-14-01-07,"san francisco, california",doesn't want kids,has dogs and likes cats,other and laughing about it,aquarius,no,"english (fluently), spanish (okay)",8372
52,single,m,gay,a little extra,anything,not at all,never,working on high school,white,71.0,20000,unemployed,2012-06-29-20-12,"san francisco, california",has kids,likes dogs and likes cats,catholicism and somewhat serious about it,pisces but it doesn&rsquo;t matter,no,english,8388
58,single,f,straight,full figured,anything,socially,sometimes,dropped out of college/university,white,62.0,-1,sales / marketing / biz dev,2012-06-29-18-52,"oakland, california",doesn't want kids,has cats,buddhism,sagittarius,no,"english, french (okay), spanish (poorly)",8399
36,single,m,straight,full figured,mostly anything,socially,sometimes,graduated from two-year college,white,69.0,80000,computer / hardware / software,2012-06-05-09-16,"san francisco, california","has kids, and might want more",has dogs,other,cancer and it&rsquo;s fun to think about,sometimes,english,8401
41,single,m,straight,average,anything,socially,never,graduated from high school,black,68.0,30000,other,2012-05-10-19-08,"hayward, california",has a kid,likes cats,christianity and somewhat serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently),8403
32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,"hispanic / latin, white",71.0,-1,sales / marketing / biz dev,2012-06-29-16-26,"san francisco, california","doesn't have kids, but wants them",likes dogs,christianity,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",8406
66,single,m,straight,fit,mostly vegetarian,socially,sometimes,graduated from masters program,white,70.0,60000,rather not say,2012-06-27-11-45,"berkeley, california","has a kid, but doesn't want more",likes dogs and dislikes cats,judaism but not too serious about it,aquarius but it doesn&rsquo;t matter,no,english,8409
24,single,m,straight,fit,mostly anything,not at all,never,working on college/university,white,71.0,20000,medicine / health,2012-01-03-20-38,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism and laughing about it,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)",8448
20,single,f,bisexual,average,mostly kosher,socially,never,working on college/university,white,66.0,-1,student,2012-06-29-21-41,"san rafael, california","doesn't have kids, and doesn't want any",has dogs and has cats,judaism and somewhat serious about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), hebrew (poorly)",8449
35,single,f,straight,average,anything,socially,never,college/university,asian,62.0,-1,science / tech / engineering,2012-06-29-22-43,"san francisco, california","doesn't have kids, but wants them",has dogs,catholicism and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), chinese (fluently), french (okay), german (poorly), occitan",8457
48,single,m,straight,average,anything,socially,sometimes,graduated from college/university,white,72.0,-1,computer / hardware / software,2012-06-27-22-10,"oakland, california",has a kid,likes dogs and has cats,atheism but not too serious about it,pisces and it&rsquo;s fun to think about,no,"english, c++",8466
22,single,f,straight,curvy,mostly anything,socially,sometimes,working on college/university,black,63.0,20000,artistic / musical / writer,2012-06-25-13-24,"oakland, california","doesn't have kids, but might want them",likes dogs and dislikes cats,catholicism and laughing about it,leo and it&rsquo;s fun to think about,no,english (fluently),8495
29,single,f,straight,fit,mostly anything,often,sometimes,graduated from college/university,white,63.0,-1,entertainment / media,2012-02-22-01-47,"san francisco, california","doesn't have kids, but might want them",likes dogs and has cats,other and laughing about it,cancer and it matters a lot,no,"english (fluently), french (poorly)",8505
28,single,m,straight,average,strictly vegetarian,socially,never,graduated from college/university,"hispanic / latin, white",73.0,-1,transportation,2012-06-30-01-52,"berkeley, california","doesn't have kids, but wants them",likes cats,agnosticism,leo but it doesn&rsquo;t matter,no,english,8507
22,single,f,straight,average,mostly anything,rarely,never,graduated from college/university,white,70.0,-1,science / tech / engineering,2012-06-30-06-19,"walnut creek, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",8512
26,single,m,straight,jacked,anything,socially,never,graduated from space camp,"asian, pacific islander",69.0,-1,executive / management,2012-06-27-21-29,"oakland, california","doesn't have kids, but might want them",has dogs and likes cats,other and laughing about it,aries,no,"english (fluently), chinese (fluently), spanish (poorly)",8513
41,single,m,straight,average,mostly anything,not at all,never,graduated from college/university,asian,72.0,150000,sales / marketing / biz dev,2012-02-28-21-11,"hayward, california",has kids,likes dogs and dislikes cats,other but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), korean (okay)",8522
56,single,m,gay,a little extra,mostly anything,socially,never,graduated from masters program,white,69.0,-1,medicine / health,2012-06-28-15-54,"san leandro, california",doesn't want kids,has dogs and likes cats,buddhism and somewhat serious about it,cancer and it&rsquo;s fun to think about,no,english (fluently),8524
52,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,"hispanic / latin, white",74.0,-1,artistic / musical / writer,2012-06-29-04-58,"san francisco, california","has kids, but doesn't want more",has dogs,atheism,aquarius,no,"english (fluently), spanish (fluently), italian (okay)",8529
37,single,f,gay,a little extra,strictly anything,socially,sometimes,graduated from masters program,white,63.0,-1,hospitality / travel,2012-06-23-00-44,"oakland, california","doesn't have kids, but wants them",likes dogs and has cats,judaism,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",8532
26,single,f,straight,average,anything,socially,never,graduated from masters program,white,62.0,-1,artistic / musical / writer,2012-06-30-01-33,"san francisco, california",doesn't have kids,likes cats,catholicism and somewhat serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), italian (poorly)",8536
21,single,m,straight,average,mostly other,socially,often,graduated from high school,"middle eastern, black, white",73.0,-1,entertainment / media,2012-02-21-22-45,"oakland, california",doesn't want kids,has dogs,islam and very serious about it,gemini and it matters a lot,yes,"english (fluently), arabic (okay), spanish (okay)",8539
43,single,f,straight,average,mostly anything,socially,never,graduated from college/university,black,68.0,-1,medicine / health,2012-03-23-23-45,"san francisco, california",doesn't have kids,likes dogs and likes cats,agnosticism but not too serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), italian (poorly), portuguese (poorly)",8550
31,single,m,straight,skinny,mostly anything,often,never,graduated from two-year college,white,70.0,-1,hospitality / travel,2012-06-28-13-31,"san francisco, california","doesn't have kids, but wants them",likes dogs and dislikes cats,other and laughing about it,taurus and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (okay)",8555
28,single,f,straight,curvy,anything,socially,never,graduated from college/university,white,69.0,20000,unemployed,2012-01-24-17-30,"san rafael, california",has kids,likes dogs and likes cats,christianity and somewhat serious about it,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",8561
42,single,m,straight,a little extra,strictly anything,socially,never,working on masters program,hispanic / latin,70.0,-1,education / academia,2012-06-29-23-00,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,agnosticism but not too serious about it,scorpio but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",8573
28,single,m,straight,average,anything,socially,never,graduated from college/university,asian,70.0,-1,entertainment / media,2012-06-29-17-21,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism,virgo and it&rsquo;s fun to think about,no,"english, chinese, korean (poorly), sign language (poorly)",8574
30,single,m,straight,full figured,mostly anything,socially,never,graduated from masters program,black,73.0,60000,banking / financial / real estate,2012-06-07-07-40,"san francisco, california",doesn't have kids,likes dogs,christianity and somewhat serious about it,libra,no,english,8584
41,single,m,straight,athletic,strictly kosher,not at all,never,working on college/university,black,72.0,-1,sales / marketing / biz dev,2012-06-26-10-19,"san mateo, california",has kids,likes dogs and likes cats,christianity,leo and it&rsquo;s fun to think about,no,english,8588
40,single,f,straight,athletic,mostly anything,socially,sometimes,graduated from college/university,hispanic / latin,65.0,-1,artistic / musical / writer,2012-05-06-23-21,"emeryville, california",has kids,likes dogs and likes cats,other and very serious about it,aries and it matters a lot,no,"english (fluently), spanish (fluently)",8592
37,married,m,straight,normal,anything,often,sometimes,graduated from college/university,white,73.0,-1,science / tech / engineering,2012-01-30-11-10,"oakland, california",has a kid,has cats,other and laughing about it,sagittarius but it doesn&rsquo;t matter,no,english,8600
38,single,m,straight,average,mostly anything,often,sometimes,dropped out of college/university,white,73.0,-1,hospitality / travel,2012-06-30-04-11,"oakland, california","doesn't have kids, but wants them",has dogs,christianity but not too serious about it,aries and it&rsquo;s fun to think about,trying to quit,english,8604
23,single,m,straight,fit,strictly anything,often,never,working on college/university,"asian, hispanic / latin, white, other",73.0,20000,other,2012-06-21-19-17,"berkeley, california",doesn't have kids,likes dogs and has cats,other and laughing about it,aquarius but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (fluently)",8606
42,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,asian,72.0,-1,education / academia,2012-06-30-07-39,"san francisco, california",doesn't have kids,likes dogs and likes cats,agnosticism but not too serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), korean (poorly)",8613
40,single,f,straight,athletic,mostly anything,often,never,graduated from masters program,white,63.0,-1,education / academia,2012-06-29-18-22,"san francisco, california","doesn't have kids, but wants them",likes dogs,catholicism and laughing about it,pisces and it&rsquo;s fun to think about,no,english,8615
23,single,f,straight,fit,mostly anything,socially,never,graduated from college/university,white,61.0,-1,other,2012-06-30-07-39,"san francisco, california","doesn't have kids, but wants them",likes dogs,catholicism but not too serious about it,scorpio and it&rsquo;s fun to think about,no,english,8621
39,single,f,straight,average,mostly anything,often,sometimes,graduated from masters program,other,65.0,-1,medicine / health,2012-06-17-11-09,"san francisco, california","doesn't have kids, but might want them",likes dogs and has cats,atheism but not too serious about it,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",8623
21,single,m,straight,average,mostly anything,rarely,never,working on college/university,asian,68.0,-1,student,2012-06-28-12-52,"fremont, california",doesn't have kids,likes dogs,christianity but not too serious about it,aries but it doesn&rsquo;t matter,no,english (fluently),8634
39,single,f,straight,average,anything,socially,never,graduated from masters program,white,67.0,-1,entertainment / media,2012-06-29-21-18,"san francisco, california","doesn't have kids, but might want them",has dogs,catholicism but not too serious about it,taurus and it&rsquo;s fun to think about,no,"english, italian (okay)",8649
29,single,m,straight,skinny,strictly anything,often,never,graduated from college/university,white,69.0,-1,hospitality / travel,2012-06-30-02-09,"oakland, california",doesn't have kids,likes dogs,atheism,libra,yes,english (fluently),8662
28,single,m,straight,fit,strictly vegan,rarely,never,graduated from college/university,white,67.0,80000,computer / hardware / software,2012-06-30-00-54,"san bruno, california","doesn't have kids, but might want them",likes dogs and likes cats,atheism and laughing about it,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), chinese (poorly), vietnamese (poorly), indonesian (poorly)",8671
51,single,m,straight,overweight,anything,not at all,never,graduated from masters program,white,68.0,-1,computer / hardware / software,2012-06-30-07-42,"foster city, california",doesn't want kids,has cats,atheism and very serious about it,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), russian (poorly), french (poorly), german (poorly)",8673
63,single,m,straight,fit,anything,socially,sometimes,graduated from masters program,white,69.0,100000,entertainment / media,2012-06-01-21-55,"el sobrante, california",has a kid,has dogs and likes cats,other and somewhat serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently),8678
62,single,m,straight,thin,anything,rarely,never,graduated from ph.d program,white,75.0,-1,education / academia,2012-06-03-17-36,"richmond, california",has a kid,dislikes dogs and has cats,atheism and laughing about it,aries but it doesn&rsquo;t matter,no,english (fluently),8690
28,single,f,bisexual,average,mostly anything,rarely,often,graduated from masters program,white,55.0,-1,political / government,2012-06-20-13-03,"el cerrito, california","doesn't have kids, but wants them",likes dogs and has cats,atheism and very serious about it,cancer and it&rsquo;s fun to think about,no,"english (fluently), latin (poorly), spanish (poorly), sign language (okay)",8692
53,single,f,straight,average,mostly anything,rarely,never,dropped out of college/university,hispanic / latin,61.0,-1,rather not say,2012-06-28-15-22,"oakland, california","has kids, but doesn't want more",likes dogs and likes cats,christianity and somewhat serious about it,cancer but it doesn&rsquo;t matter,sometimes,"english (okay), spanish (fluently), italian (poorly)",8726
36,single,m,straight,a little extra,mostly anything,socially,never,graduated from masters program,"native american, hispanic / latin",66.0,-1,medicine / health,2012-06-29-23-43,"oakland, california","doesn't have kids, but might want them",likes dogs and has cats,other and somewhat serious about it,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",8728
25,single,m,gay,fit,anything,socially,never,college/university,white,67.0,-1,executive / management,2012-06-29-21-55,"berkeley, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,sagittarius but it doesn&rsquo;t matter,no,english,8754
46,single,f,straight,full figured,mostly anything,socially,never,working on two-year college,white,68.0,50000,medicine / health,2012-06-28-22-56,"san leandro, california","has a kid, but doesn't want more",has dogs and likes cats,christianity but not too serious about it,virgo and it&rsquo;s fun to think about,no,english (fluently),8756
29,single,f,straight,curvy,mostly vegetarian,socially,never,graduated from masters program,other,62.0,-1,artistic / musical / writer,2012-06-29-23-16,"berkeley, california","doesn't have kids, but wants them",likes dogs and dislikes cats,catholicism but not too serious about it,cancer and it matters a lot,no,"english (fluently), spanish (poorly)",8758
41,single,m,straight,athletic,anything,rarely,never,graduated from college/university,white,65.0,60000,sales / marketing / biz dev,2012-06-25-15-57,"san rafael, california","doesn't have kids, but wants them",has dogs,catholicism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",8772
45,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,64.0,-1,medicine / health,2012-06-27-18-22,"san francisco, california",doesn't have kids,likes dogs,christianity but not too serious about it,aries and it&rsquo;s fun to think about,no,english,8781
29,single,f,straight,a little extra,mostly vegetarian,socially,never,graduated from college/university,white,68.0,-1,entertainment / media,2012-06-22-22-04,"san francisco, california","doesn't have kids, but might want them",likes dogs and has cats,agnosticism,taurus,no,english (fluently),8789
28,single,f,straight,curvy,anything,socially,sometimes,graduated from college/university,white,72.0,50000,entertainment / media,2012-06-30-00-45,"oakland, california",doesn't have kids,has dogs and likes cats,christianity and laughing about it,scorpio and it&rsquo;s fun to think about,when drinking,english,8790
32,single,f,straight,curvy,mostly vegetarian,socially,sometimes,graduated from masters program,white,71.0,40000,other,2012-06-23-22-30,"oakland, california",doesn't have kids,likes dogs and has cats,catholicism and laughing about it,pisces,no,english (fluently),8791
43,single,m,straight,athletic,anything,socially,never,graduated from two-year college,hispanic / latin,70.0,-1,hospitality / travel,2012-06-29-22-38,"san francisco, california",has kids,likes dogs,christianity but not too serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",8802
